and;a
saved;uratowali
would save;uratowaliby
have saved;uratowaliœcie
saved;uratowaliœmy
saved;uratowa³
saved;uratowa³a
would save;uratowa³aby
would you save;uratowa³abyœ
I saved;uratowa³am
saved;uratowa³aœ
have saved;uratowa³by
would save;uratowa³bym
saved;uratowa³em
saved;uratowa³eœ
saved;uratowa³o
would save;uratowa³oby
saved;uratowa³y
would save;uratowa³yby
saved;uratowana
rescued;uratowan¹
saved;uratowane
rescued;uratowanego
rescued;uratowanej
saved;uratowani
rescue;uratowania
rescue;uratowanie
rescuing;uratowaniem
rescue;uratowaniu
saved;uratowano
saved;uratowany
saved;uratowanych
rescued;uratowanym
rescued;uratowanymi
rescued;uratowañ
rescue;uratowawszy
save;uratuj
save;uratuj¹
save;uratuje
I'll rescue you;uratujecie
We will save;uratujemy
rescue;uratujesz
I will save;uratujê
Let's save;uratujmy
injury;uraz
resentment;uraza
injuries;urazach
injuries;urazami
resentment;uraz¹
injury;urazem
resentment;urazê
offend;urazi
hurt;uraziæ
injury;urazie
offended;uraziliœmy
offended;urazi³
offended;urazi³a
offended;urazi³am
You offend;urazi³aœ
offended;urazi³em
offended;urazi³eœ
offended;urazi³o
offend;urazi³oby
injuries;urazom
injury;urazowi
injuries;urazów
injury;urazu
injuries;urazy
injury;uraŸ
resentment;ura¿¹
offended;ura¿eni
offending;ura¿enia
injury;ura¿enie
offending;ura¿eniem
trauma;ura¿ê
offended;ura¿ona
affronted;ura¿on¹
offended;ura¿one
affronted;ura¿onego
wounded;ura¿onej
offended;ura¿ono
resentful;ura¿ony
offended;ura¿onych
wounded;ura¿onym
leave;urlop
leave;urlopach
of leave;urlopami
leave;urlopem
leave;urlopie
leave;urlopów
leave;urlopu
leave;urlopy
polls;urn
urn;urna
urns;urnach
urns;urnami
urn;urn¹
urn;urnê
urn;urnie
pmol;urno
urns;urny
charming;urocz
lovely;urocza
lovely;urocz¹
cute;urocze
charming;uroczego
charming;uroczej
LOVELY;uroczenie
cute;uroczê
charmingly;uroczo
charmed;uroczona
charmed;uroczon¹
charmed;uroczone
charmed;uroczonej
cute;uroczy
lovely;uroczych
solemnly;uroczy³
solemnly;uroczy³a
solemnly;uroczy³am
solemnly;uroczy³em
charming;uroczym
lovely;uroczymi
gala;uroczysta
gala;uroczyst¹
ceremony;uroczyste
solemn;uroczystego
the solemn;uroczystej
the solemn;uroczystemu
celebrations;uroczystoœci
celebrations;uroczystoœciach
celebrations;uroczystoœciami
ceremony;uroczystoœci¹
celebrations;uroczystoœciom
celebration;uroczystoœæ
festive;uroczysty
solemn;uroczystych
solemn;uroczystym
solemn;uroczystymi
celebratory;uroczyœci
solemnly;uroczyœcie
beauty;uroda
beauty;urod¹
beauty;urodê
beauty;urody
fertile;urodzajna
fertile;urodzajn¹
fertile;urodzajne
fertile;urodzajnego
fertile;urodzajnej
fertile;urodzajny
fertile;urodzajnych
fruitful;urodzajnym
fertile;urodzajnymi
will be born;urodz¹
born;urodzeni
birth;urodzenia
births;urodzeniach
births;urodzeniami
birth;urodzenie
birth;urodzeniem
birth;urodzeniu
births;urodzeñ
I give birth;urodzê
birth;urodzi
are born;urodzicie
give birth;urodziæ
beauty;urodzie
They born;urodzili
born;urodziliœcie
We born;urodziliœmy
born;urodzi³
birth;urodzi³a
born to;urodzi³aby
I was born;urodzi³am
you born;urodzi³aœ
been born;urodzi³by
I was born;urodzi³em
you born;urodzi³eœ
was born;urodzi³o
been born;urodzi³oby
born;urodzi³y
We were born;urodzi³yœmy
We are born;urodzimy
Birthday;urodzin
birthdays;urodzinach
birthday;urodzinami
birthday;urodzinowa
birthday;urodzinow¹
birthday;urodzinowe
birthday;urodzinowego
birthday;urodzinowej
a birthday;urodzinowemu
birthday;urodzinowi
of birthday;urodzinowy
birthday;urodzinowych
birthday;urodzinowym
birthday;urodzinowymi
birthday;urodziny
You give birth;urodzisz
been born;urodziwszy
born;urodzona
born;urodzon¹
born;urodzone
born;urodzonego
born;urodzonej
born;urodzonemu
born;urodzony
born;urodzonych
born;urodzonym
born;urodzonymi
birth;urodŸ
charm;urok
charms;urokach
charms;urokami
charms;uroki
charm;urokiem
charms;urokom
allure;urokowi
charms;uroków
charm;uroku
beauty;uród
birth;uródŸ
starts;uruchamia
you start;uruchamiacie
run;uruchamiaæ
run;uruchamiaj
launch;uruchamiaj¹
running;uruchamiaj¹c
actuating;uruchamiaj¹ca
actuating;uruchamiaj¹c¹
actuating;uruchamiaj¹ce
actuator;uruchamiaj¹cego
actuating;uruchamiaj¹cej
actuating;uruchamiaj¹cemu
Launcher;uruchamiaj¹cy
actuating;uruchamiaj¹cych
actuating;uruchamiaj¹cym
actuators;uruchamiaj¹cymi
Starts;uruchamiajcie
Starts;uruchamiajmy
They boot up;uruchamiali
Starts;uruchamialiby
we launched;uruchamialiœmy
run;uruchamia³
activated the;uruchamia³a
would trigger;uruchamia³aby
run;uruchamia³am
would start;uruchamia³by
I am running the Easy;uruchamia³em
you ran;uruchamia³eœ
run;uruchamiam
run;uruchamiamy
starts;uruchamiana
actuated;uruchamian¹
run;uruchamiane
actuated;uruchamianego
actuated;uruchamianej
runnable;uruchamianemu
start up for;uruchamiani
launch;uruchamiania
actuations;uruchamianiach
launch;uruchamianie
startup;uruchamianiem
startup;uruchamianiu
was run;uruchamiano
actuated;uruchamiany
run;uruchamianych
actuated;uruchamianym
actuated;uruchamianymi
actuated;uruchamiañ
run;uruchamiasz
run;uruchom
just run;uruchomcie
launch;uruchomi
launch;uruchomi¹
you run a;uruchomicie
start;uruchomiæ
guided start;uruchomieni
launch;uruchomienia
startups;uruchomieniach
restarts;uruchomieniami
start-up;uruchomienie
commissioning;uruchomieniem
restarts;uruchomieniom
start;uruchomieniu
starts;uruchomieñ
run;uruchomiê
launched;uruchomili
have opened the;uruchomiliœcie
we launched;uruchomiliœmy
launched;uruchomi³
launched;uruchomi³a
I launched;uruchomi³am
would start the;uruchomi³by
I would start;uruchomi³bym
leeching;uruchomi³em
booted;uruchomi³eœ
launched;uruchomi³o
launched;uruchomi³y
run;uruchomimy
launched;uruchomiona
running;uruchomion¹
launched;uruchomione
launched;uruchomionego
launched;uruchomionej
launched;uruchomiono
launched;uruchomiony
running;uruchomionych
running;uruchomionym
running;uruchomionymi
run;uruchomisz
let's run;uruchommy
Uruguay;urugwaj
Uruguay;urugwajem
Uruguay;urugwajowi
uruguay;urugwaju
office;urz¹d
arranges;urz¹dza
device;urz¹dzacie
arrange;urz¹dzaæ
device;urz¹dzaj
arrange;urz¹dzaj¹
arranging;urz¹dzaj¹c
installer of the machine;urz¹dzaj¹ca
Furnishing;urz¹dzaj¹c¹
Furnishing;urz¹dzaj¹ce
Furnishing;urz¹dzaj¹cej
that arrange;urz¹dzaj¹cych
device;urz¹dzajcie
device;urz¹dzajmy
device;urz¹dzali
device;urz¹dzaliby
urz;urz¹dza³a
urz¹dza³;urz¹dza³am
urz¹dza³;urz¹dza³em
arranged the;urz¹dzam
arranged the;urz¹dzamy
device;urz¹dzana
device;urz¹dzan¹
device;urz¹dzane
device;urz¹dzani
furnishing;urz¹dzania
devices without;urz¹dzaniach
furnishing;urz¹dzanie
arranging;urz¹dzaniem
furnishing;urz¹dzaniu
were arranged;urz¹dzano
device;urz¹dzany
you give a;urz¹dzasz
device;urz¹dz¹
machine;urz¹dzeni
devices;urz¹dzenia
devices;urz¹dzeniach
devices;urz¹dzeniami
equipment;urz¹dzenie
device;urz¹dzeniem
devices;urz¹dzeniom
device;urz¹dzeniu
equipment;urz¹dzeñ
for other devices;urz¹dzê
arrange the;urz¹dzi
arrange;urz¹dziæ
They arranged;urz¹dzili
arranged a;urz¹dziliœmy
arranged;urz¹dzi³
to always;urz¹dzi³a
I arranged;urz¹dzi³am
I arranged;urz¹dzi³em
up rooms;urz¹dzi³o
We will arrange;urz¹dzimy
Having arranged;urz¹dziwszy
decorated;urz¹dzona
furnished;urz¹dzon¹
decorated;urz¹dzone
decorated;urz¹dzonego
furnished;urz¹dzonej
decorated;urz¹dzono
appointed;urz¹dzony
decorated;urz¹dzonych
decorated;urz¹dzonym
furnished;urz¹dzonymi
Decorate;urz¹dŸ
offices;urzêdach
offices;urzêdami
office;urzêdem
officials;urzêdnicy
official;urzêdnik
officer;urzêdnika
officials;urzêdnikach
officials;urzêdnikami
clerks;urzêdniki
clerk;urzêdnikiem
officials;urzêdnikom
official;urzêdnikowi
officials;urzêdników
official;urzêdniku
offices;urzêdom
official;urzêdowa
official;urzêdow¹
official;urzêdowe
official;urzêdowego
official;urzêdowej
official;urzêdowemu
office;urzêdowi
officially;urzêdowo
official;urzêdowy
official;urzêdowych
official;urzêdowym
official;urzêdowymi
offices;urzêdów
office;urzêdu
offices;urzêdy
office;urzêdzie
sat;usiad³
sat;usiad³a
I would sit;usiad³abym
you'd sit down;usiad³abyœ
sat;usiad³am
I sit down;usiad³bym
I sat;usiad³em
sat down;usiad³eœ
sat;usiad³o
sat;usiad³szy
sat;usiad³y
sat down;usiad³yœmy
sit down;usi¹d¹
I sit;usi¹dê
sit down;usi¹dzie
you sit down;usi¹dziecie
we sit down;usi¹dziemy
sit down;usi¹dziesz
sit down;usi¹dŸ
sit down;usi¹dŸcie
sit down;usi¹dŸmy
sit down;usi¹œæ
sat;usiedli
they sat;usiedliby
sat down;usiedliœmy
attempt;usi³owaæ
They sought;usi³owali
attempt;usi³owaliby
we tried to;usi³owalibyœmy
you tried;usi³owaliœcie
we tried;usi³owaliœmy
he tried;usi³owa³
He tried;usi³owa³a
should seek;usi³owa³aby
I tried;usi³owa³am
you tried;usi³owa³aœ
would try;usi³owa³by
I tried;usi³owa³em
You were trying;usi³owa³eœ
attempted;usi³owa³o
attempted;usi³owa³y
attempts;usi³owania
endeavors;usi³owaniach
attempts of;usi³owaniami
attempt;usi³owanie
attempting to;usi³owaniem
attempts;usi³owaniom
attempt;usi³owaniu
attempted;usi³owano
attempts;usi³owañ
Attempt;usi³uj
trying to;usi³uj¹
trying to;usi³uj¹c
tending;usi³uj¹ca
attempting;usi³uj¹c¹
attempting to;usi³uj¹ce
attempting to;usi³uj¹cego
struggling;usi³uj¹cej
striving;usi³uj¹cy
trying to;usi³uj¹cych
struggling;usi³uj¹cym
that try;usi³uj¹cymi
Strive;usi³ujcie
attempts;usi³uje
seek to;usi³ujecie
We are trying to;usi³ujemy
You are trying to;usi³ujesz
I'm trying to;usi³ujê
us want to;usi³ujmy
service;us³udze
services;us³ug
service;us³uga
services;us³ugach
services;us³ugami
service;us³ug¹
service;us³ugê
services;us³ugi
servicesContacts;us³ugo
services;us³ugom
hear;us³ysz
he heard;us³ysza³
heard;us³ysza³a
have heard;us³ysza³aby
I heard;us³ysza³am
heard;us³ysza³aœ
have heard;us³ysza³by
I would hear;us³ysza³bym
I heard;us³ysza³em
heard;us³ysza³eœ
heard;us³ysza³o
heard;us³ysza³y
heard;us³ysza³yœmy
heard;us³yszana
Hear;us³yszan¹
heard;us³yszane
rehearsed;us³yszanego
Hear;us³yszani
heard;us³yszano
heard;us³yszany
you heard;us³yszanych
heard;us³yszanym
hearing;us³yszawszy
hear;us³ysz¹
hear the;us³yszcie
hear;us³yszeæ
heard;us³yszeli
They have heard;us³yszeliby
You would hear;us³yszelibyœcie
We have heard;us³yszelibyœmy
heard;us³yszeliœcie
heard;us³yszeliœmy
hear;us³yszenia
hear;us³yszenie
hearing;us³yszeniem
hearing;us³yszeniu
hear;us³yszê
Let us hear;us³yszmy
hears;us³yszy
hear;us³yszycie
hear;us³yszymy
you hear;us³yszysz
calms down;uspokaja
It soothes;uspokajacie
calm;uspokajaæ
reassuring;uspokajaj
soothe;uspokajaj¹
reassuring;uspokajaj¹c
reassuring;uspokajaj¹ca
reassuring;uspokajaj¹c¹
reassuring;uspokajaj¹ce
sedating;uspokajaj¹cego
reassuring;uspokajaj¹cej
soothing;uspokajaj¹cy
sedatives;uspokajaj¹cych
reassuring;uspokajaj¹cym
sedatives;uspokajaj¹cymi
It soothes;uspokajajcie
It soothes;uspokajajmy
reassured;uspokajali
It soothes;uspokajaliby
soothingly;uspokaja³
soothed;uspokaja³a
I reassured;uspokaja³am
soothed;uspokaja³em
soothed;uspokaja³o
soothed;uspokaja³y
calm;uspokajam
calms;uspokajamy
reassured;uspokajana
It soothes;uspokajan¹
sedated;uspokajane
reassurance;uspokajani
calming;uspokajania
appeasement;uspokajanie
appeasing;uspokajaniem
calming;uspokajaniu
It soothes;uspokajano
reassured;uspokajany
You calm;uspokajasz
calm down;uspokoi
calm down;uspokoiæ
calmed;uspokoili
We calmed;uspokoiliœmy
reassured;uspokoi³
calmed;uspokoi³a
I reassured;uspokoi³am
I reassured;uspokoi³em
comforted;uspokoi³eœ
reassured;uspokoi³o
calm the;uspokoi³oby
reassured;uspokoi³y
reassure;uspokoimy
calm down;uspokoisz
calmed;uspokoiwszy
calm down;uspokoj¹
reassured;uspokojeni
calm;uspokojenia
calm;uspokojenie
sedation;uspokojeniem
calm;uspokojeniu
calm down;uspokojê
reassured;uspokojona
calmed;uspokojon¹
soothed;uspokojone
calmed;uspokojonego
killed;uspokojonej
sedated;uspokojono
pacified;uspokojony
sedated;uspokojonych
calmed;uspokojonym
calm down;uspokój
calm down;uspokójcie
disposition;usposobi
dispose us;usposobi¹
dispose;usposobiæ
minded;usposobieni
disposition;usposobienia
temperaments;usposobieniami
disposition;usposobienie
disposition;usposobieniem
disposition;usposobieniu
temperaments;usposobieñ
disposition;usposobiê
predispose;usposobi³y
inclined,;usposobiona
disposed;usposobione
minded;usposobionego
disposed;usposobionej
disposed;usposobiony
minded;usposobionych
minded;usposobionym
excuse;usprawiedliwia
are justified;usprawiedliwiacie
justify;usprawiedliwiaæ
excuses;usprawiedliwiaj
excuse;usprawiedliwiaj¹
excuse;usprawiedliwiaj¹c
justifying;usprawiedliwiaj¹ca
justifying;usprawiedliwiaj¹c¹
excusing;usprawiedliwiaj¹ce
justifying;usprawiedliwiaj¹cego
justifying;usprawiedliwiaj¹cej
exculpatory;usprawiedliwiaj¹cy
justifying;usprawiedliwiaj¹cych
justifier;usprawiedliwiaj¹cym
which justify;usprawiedliwiaj¹cymi
excuses;usprawiedliwiajcie
excuse;usprawiedliwiajmy
rationalized;usprawiedliwiali
by justifying;usprawiedliwialiby
justified;usprawiedliwia³
justified;usprawiedliwia³a
justify;usprawiedliwia³aby
justified;usprawiedliwia³am
justify;usprawiedliwia³by
justified;usprawiedliwia³em
excuse;usprawiedliwia³o
justify;usprawiedliwia³oby
justified;usprawiedliwia³y
justify;usprawiedliwia³yby
excuses;usprawiedliwiam
excuse;usprawiedliwiamy
justified by;usprawiedliwiana
excuse;usprawiedliwian¹
excused;usprawiedliwiane
excuse;usprawiedliwiani
excusing;usprawiedliwiania
excuses;usprawiedliwianie
excusing;usprawiedliwianiem
justification;usprawiedliwianiu
was justified;usprawiedliwiano
excused;usprawiedliwiany
you justify;usprawiedliwiasz
mouth;ust
mouth;usta
mouth;ustach
determine the;ustal
establishes;ustala
You Determine;ustalacie
set;ustalaæ
fixing;ustalaj
establish;ustalaj¹
fixing;ustalaj¹c
fixing;ustalaj¹ca
fixing;ustalaj¹c¹
fixing;ustalaj¹ce
fixing;ustalaj¹cego
fixing;ustalaj¹cej
the retaining;ustalaj¹cemu
retaining;ustalaj¹cy
fixing;ustalaj¹cych
fixing;ustalaj¹cym
fixing;ustalaj¹cymi
fixing;ustalajcie
fixing;ustalajmy
fixing;ustalali
fixing;ustalaliby
we agreed;ustalaliœmy
determined the;ustala³
fixed the;ustala³a
I am figuring out;ustala³am
determined the;ustala³em
allocates;ustala³o
would set;ustala³oby
determined the;ustala³y
set ground;ustala³yby
I establish;ustalam
we set;ustalamy
determined;ustalana
to be established;ustalan¹
established;ustalane
, agreed;ustalanego
determined;ustalanej
to be determined;ustalanemu
fixing;ustalani
fixing;ustalania
fixing;ustalanie
fixing;ustalaniem
determining;ustalaniu
determined;ustalano
determined;ustalany
determined;ustalanych
to be determined;ustalanym
ESTABLISHED;ustalañ
set your;ustalasz
establish;ustal¹
Lay down;ustalcie
Set of;ustaleni
findings;ustalenia
arrangements;ustaleniach
arrangements;ustaleniami
fixing;ustalenie
finding;ustaleniem
arrangements;ustaleniom
finding;ustaleniu
arrangements;ustaleñ
I'll fix;ustalê
finds;ustali
establish;ustaliæ
established;ustalili
bar set;ustaliliœcie
we established;ustaliliœmy
established;ustali³
established;ustali³a
would determine;ustali³aby
I fixed;ustali³am
would establish;ustali³by
I established;ustali³em
you have selected;ustali³eœ
established;ustali³o
established;ustali³y
be agreed;ustali³yby
determine;ustalimy
you set;ustalisz
having found;ustaliwszy
let's;ustalmy
fixed;ustalona
fixed;ustalon¹
established;ustalone
steady;ustalonego
fixed;ustalonej
the established;ustalonemu
established;ustalono
established;ustalony
established;ustalonych
steady;ustalonym
established;ustalonymi
mouth;ustami
establishes;ustanawia
Establishing;ustanawiacie
establish;ustanawiaæ
establishing;ustanawiaj
establish;ustanawiaj¹
establishing;ustanawiaj¹c
down;ustanawiaj¹ca
down;ustanawiaj¹c¹
down;ustanawiaj¹ce
establishing;ustanawiaj¹cego
establishing;ustanawiaj¹cej
establishing the;ustanawiaj¹cemu
establishing;ustanawiaj¹cy
establishing;ustanawiaj¹cych
down;ustanawiaj¹cym
establishing;ustanawiaj¹cymi
Establish;ustanawiajcie
Establishing;ustanawiajmy
They are making;ustanawiali
Establishing;ustanawialiby
established the;ustanawia³
lay down;ustanawia³a
would establish;ustanawia³aby
established the;ustanawia³am
would establish;ustanawia³by
established the;ustanawia³em
would lay down;ustanawia³oby
set reference;ustanawia³y
impose the;ustanawia³yby
I establish;ustanawiam
we establish;ustanawiamy
established;ustanawiana
Establishing;ustanawian¹
established;ustanawiane
be established and;ustanawianego
element established;ustanawianej
ordained;ustanawiani
establishing;ustanawiania
establishing;ustanawianie
the establishment;ustanawianiem
establishing;ustanawianiu
been set up;ustanawiano
established;ustanawiany
it lays down;ustanawianych
the directives laid down;ustanawianym
decided upon;ustanawianymi
element established;ustanawiañ
you set up a;ustanawiasz
establish;ustanowi
establish;ustanowi¹
establish;ustanowiæ
appointed;ustanowieni
establish;ustanowienia
establishment;ustanowienie
the establishment;ustanowieniem
the establishment;ustanowieniu
provisions';ustanowieñ
appoint;ustanowiê
established;ustanowili
established a;ustanowiliœmy
established;ustanowi³
established;ustanowi³a
would establish;ustanowi³aby
I established;ustanowi³am
layed;ustanowi³aœ
would establish;ustanowi³by
I appointed;ustanowi³em
you established;ustanowi³eœ
established;ustanowi³o
would establish;ustanowi³oby
established;ustanowi³y
would establish;ustanowi³yby
will establish;ustanowimy
established;ustanowiona
established;ustanowion¹
established;ustanowione
established;ustanowionego
established;ustanowionej
established;ustanowionemu
established;ustanowiono
established;ustanowiony
established;ustanowionych
established;ustanowionym
established;ustanowionymi
established the;ustanowisz
and hath;ustanowiwszy
establish your;ustanów
make peace;ustanówcie
set;ustaw
law;ustawa
acts;ustawach
acts;ustawami
law;ustaw¹
Position the;ustawcie
bill;ustawê
set;ustawi
sets;ustawia
setup;ustawiacie
place;ustawiaæ
set the;ustawiaj
set;ustawiaj¹
setting;ustawiaj¹c
setter;ustawiaj¹ca
setter;ustawiaj¹c¹
setters;ustawiaj¹ce
positioning;ustawiaj¹cego
setter;ustawiaj¹cej
of positioning;ustawiaj¹cemu
positioning;ustawiaj¹cy
positioning;ustawiaj¹cych
the alignment;ustawiaj¹cym
setters;ustawiaj¹cymi
keep up the;ustawiajcie
setup;ustawiajmy
lined;ustawiali
setup;ustawialiby
was setting;ustawia³
was setting;ustawia³a
I was setting;ustawia³am
sets a;ustawia³by
I set up;ustawia³em
would put;ustawia³oby
lined;ustawia³y
I set;ustawiam
set;ustawiamy
set;ustawiana
adjustable;ustawian¹
set;ustawiane
settable;ustawianego
adjustable;ustawianej
setup;ustawiani
set;ustawiania
setting;ustawianie
adjustment;ustawianiem
setting;ustawianiu
adjusted;ustawiano
set;ustawiany
adjustable;ustawianych
settable;ustawianym
adjustable;ustawianymi
adjustable;ustawiañ
you set;ustawiasz
will set;ustawi¹
set;ustawiæ
Act;ustawie
lined up;ustawieni
settings;ustawienia
settings;ustawieniach
settings;ustawieniami
setup;ustawienie
setting;ustawieniem
settings;ustawieniom
set;ustawieniu
settings;ustawieñ
I set;ustawiê
lined;ustawili
have set;ustawiliœcie
we set the;ustawiliœmy
set;ustawi³
has set;ustawi³a
I set;ustawi³am
did you place;ustawi³aœ
have set;ustawi³by
